1joag47,United Microelectronics (UMC) and U.S.-based GlobalFoundries (GFS) are exploring the possibility of a merger,,1743446060.0
1joa2qg,Classic textbook pump and dump?,Shame that options arenâ€™t available yet.,1743445150.0
1jo9syt,Look at what they did to my bios,,1743444498.0
1jo9ova,Half a mil in one position,"I believe that itâ€™s time. The manipulation will be ending soon and the move up with will be so violent. I positioned accordingly with 22,000 shares. Average price: $22.48

See yall on the other side ðŸ«¡ðŸ«¡",1743444235.0
1jo88fy,10k money giveaway in 0DTEs,,1743440723.0
1jo74l4,What do I do,Am I cooked,1743437978.0
1jo6v9m,"China, Japan, South Korea will jointly respond to US tariffs, Chinese state media says","https://www.reuters.com/world/china-japan-south-korea-will-jointly-respond-us-tariffs-chinese-state-media-says-2025-03-31/

south korea, japan and china will have a joint response to US tariffs, chinese state media says.
trilateral trade talks were held on Sunday for the first time in 5 years.",1743437344.0
1joa2qg,Classic textbook pump and dump?,Shame that options arenâ€™t available yet.,1743445150.0
1jo9syt,Look at what they did to my bios,,1743444498.0
1jo9ova,Half a mil in one position,"I believe that itâ€™s time. The manipulation will be ending soon and the move up with will be so violent. I positioned accordingly with 22,000 shares. Average price: $22.48

See yall on the other side ðŸ«¡ðŸ«¡",1743444235.0
